"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2103","getUsersListAndValidate","Surefire suite","Thu Dec 18 23:20:04 UTC 2025","passed","Thu Dec 18 23:20:06 UTC 2025","api.UserAPITest","Surefire test","api.UserAPITest","getUsersListAndValidate"
"","7415","Runs Cucumber Scenarios","Surefire suite","Thu Dec 18 23:20:07 UTC 2025","passed","Thu Dec 18 23:20:15 UTC 2025","runner.TestRunner","Surefire test","runner.TestRunner","runScenario"
"","277","testInvalidLogin","Surefire suite","Thu Dec 18 23:20:15 UTC 2025","passed","Thu Dec 18 23:20:15 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","testInvalidLogin"
"","9","testDBConnectionAttempt","Surefire suite","Thu Dec 18 23:20:17 UTC 2025","passed","Thu Dec 18 23:20:17 UTC 2025","tests.DBValidationTest","Surefire test","tests.DBValidationTest","testDBConnectionAttempt"
"","255","testSuccessfulLogin","Surefire suite","Thu Dec 18 23:20:16 UTC 2025","passed","Thu Dec 18 23:20:16 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","testSuccessfulLogin"
"","6","testTittleValid","Surefire suite","Thu Dec 18 23:20:17 UTC 2025","passed","Thu Dec 18 23:20:17 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","testTittleValid"
"","689","createNewUserAndValidateResponse","Surefire suite","Thu Dec 18 23:20:06 UTC 2025","passed","Thu Dec 18 23:20:07 UTC 2025","api.CreateUserAPITest","Surefire test","api.CreateUserAPITest","createNewUserAndValidateResponse"
