"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","testTittleValid","Surefire suite","Fri Dec 19 01:39:42 UTC 2025","passed","Fri Dec 19 01:39:42 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","testTittleValid"
"","280","testSuccessfulLogin","Surefire suite","Fri Dec 19 01:39:41 UTC 2025","passed","Fri Dec 19 01:39:42 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","testSuccessfulLogin"
"","283","testInvalidLogin","Surefire suite","Fri Dec 19 01:39:41 UTC 2025","passed","Fri Dec 19 01:39:41 UTC 2025","tests.LoginTest","Surefire test","tests.LoginTest","testInvalidLogin"
"","2225","getUsersListAndValidate","Surefire suite","Fri Dec 19 01:39:27 UTC 2025","passed","Fri Dec 19 01:39:29 UTC 2025","api.UserAPITest","Surefire test","api.UserAPITest","getUsersListAndValidate"
"","11","testDBConnectionAttempt","Surefire suite","Fri Dec 19 01:39:43 UTC 2025","passed","Fri Dec 19 01:39:43 UTC 2025","tests.DBValidationTest","Surefire test","tests.DBValidationTest","testDBConnectionAttempt"
"","533","createNewUserAndValidateResponse","Surefire suite","Fri Dec 19 01:39:29 UTC 2025","passed","Fri Dec 19 01:39:30 UTC 2025","api.CreateUserAPITest","Surefire test","api.CreateUserAPITest","createNewUserAndValidateResponse"
"","9874","Runs Cucumber Scenarios","Surefire suite","Fri Dec 19 01:39:30 UTC 2025","passed","Fri Dec 19 01:39:40 UTC 2025","runner.TestRunner","Surefire test","runner.TestRunner","runScenario"
